tags,texts
хабрахаб wiki FAQ ЧАВО механизм движок,"Привет!

Для сборника ответов на Часто Задаваемые Вопросы мы решили использовать идею wiki, поскольку, как нам кажется, нет смысла писать одному конкретному человеку FAQ для такого сайта, как Хабрахабр. Все равно останутся люди, у которых останутся вопросы.
Посему, обращаюсь к читателям группы со следующим вопросом: какой wiki-движок из доступных, по-вашему, идеально подходит для составления «коллективного» ЧАВО по сайту?
"
ошибки баги bugs error warning,"Кроме неработающих и отсутствующих страниц, о которых мы знаем, есть ошибки о которых мы ничего не знаем. Чем они отличаются? Хм… трудный вопрос. Пишите обо всем, а мы разберемся! =) И ничего не забудем.

Хабрахабр!"
RSS,"Какими службами пользуетесь для чтения RSS-потоков? Почему? В чем плюсы и минусы?

Я остановился на Яндес.Лента. Плюсов масса, минус один — днем, в часы пик, сайт часто «лежит», а если не лежит — долго откликается.
"
Google Маслов Сокур и партнеры PR сопровождение страшилка R,"Насколько я знаю, Google выбрал агентство «Маслов, Сокур и партнеры» для pr-сопровождения в России на местном рынке. Недавно они провели неформальную встречу с журналистами, а сегодня в Ведомостях была опубликована статья-страшилка: «Рамблер должен бояться»."
хабрахабр подкасты mp контент тексты,"Мы планируем добавить в раздел «тексты» возможность публиковать подкасты. Наполнение будет коллективным, как в колонках, с аналогичной системой публикации и трансляции анонсов на первой странице.

Что думаете об этом?

Мне кажется, идея хорошая. Сейчас есть достаточно блоггеров, и просто хороших людей, готовых публиковать подкасты на тему высоких технологий."
логин login,"У меня такое ощущение, что logout время от времени происходит самопроизвольно, несмотря на то, что чекбокс про логине включен.

Возможно, это происходит при смене IP-адреса, но я не уверен."
социальные сети Orkut SIP LiveJournal регионы,"Иногда получается так, что интернет-сервис становится популярен в какой-то аудитории, для которой он вроде бы не создавался. Так получилось с Orkut, которым пользуются в основном латиноамериканцы, c LiveJournal, которым пользуется очень много российских пользователей, с протоколом телефонии SIP, который очень интересует индийцев и т.д.

Интересно, а почему так происходит?

Становились ли русскоязычные ресурсы популярными в одной или нескольких странах экс-СССР?"
удаление,"Ну и может быть редактирование постов?
В принципе совсем не трудно сделать ссылку [удалить] у своих коментариев. Я даже скажу больше… оно уже реализовано… 
Нужно?"
предложение комментарии,Почему бы не сделать пометки у новых комментариев к просмотренной ранее странице? Было бы круто! А то неуютно как-то.
сообщества интернет-сообщество социальные сети нишевой бренд,"Я вот тут подумал, смотря, скажем, на Комби: зачем надо создавать социальную сеть, чтобы потом там формировать сообщества?

Ведь сразу возникает вопрос — откуда деньги? AdSense-like? Для русскоязычной аудитории — сомнительно. Конечно, Бегун может говорить о $1,5, но это — копейки, и меня даже эти цифры смущают…

Единственно жизнеспособным подходом, имхо, является формирование однородного сообщества на отдельном сайте по признаку отношения к некой предметной области, и введение туда существующего (или создание, что — тоже вариант) нишевого бренда.

В этом случае такой подход, во-первых — дешевле, во-вторых — контент контролируется лучше, чем в социальных сетях (почему — это отдельная огромная тема). В третьих — есть такой эффект — если сайт «только про это», то интереса у любителей «этого» он вызывает больше, чем сайт, который «и про это — тоже». В общем — время, конечно, покажет, но логика — великая вещь. :))"
хабрахабр поиск,"Сейчас работат поиск в текстах и профиле пользователя. Поиск в комментариях не работает еще. В группах и блоге тоже.
"
хабрахабр рекомендации рейтинг предпочтения,"Мы планируем транслировать пользовательские рекомендации по следующим категориям сайтов: блоги, СМИ, социальные сети.

Для чего это нужно?
Во-первых, для сбора статистики. Во-вторых, нам интересно строить некий рейтинг пользовательских предпочтений. Вероятно, многим интересно будет узнать, какие блоги и СМИ чаще всего читают пользователи этого сайта, в каких сетях состоят, и так далее.

Мы планируем спрашивать рекомендации по трем категориям сайтов (блоги, СМИ, социальные сети), но список может быть расширен, предлагайте :-) 
"
сообщества социальные сети меркетинг новый маркетинг web ,"Тут мы будем давать примеры миграции первых во вторые и мимикрии первых под вторые.

Пример первый:

blog.it-studio.kiev.ua/?p=295

Образовательная социальная сеть."
блогосфера популярность дневник standalone,"Предлагаю постить ссылки на любимые (читай — ежедневнопосещаемые) standalone-блоги. Прежде всего интересуют блоги на русском, но от английского тоже не стоит отказываться."
Google доменные имена ,"Занятный список: www.pronetadvertising.com/articles/googles-growing-list-of-domains.html
Всего 520 доменов."
хабрахабр ошибки теги,"В русском языке есть только слово «тег» (см. Грамоту.ру, Википедию, Лингво). На Хабре же используется «таг» для обозначения меток и «html-тэги». Может исправите? Или хотя бы только один вариант будете использовать.
"
rss комментарии,"Уже есть? Если есть — где кнопка?
Если нет, будет? Если будет — когда?"
хабрахабр контекстная реклама,Когда доделаете? Какие будут расценки?
