tags,texts
microsoft educational materials development flexible methodologies xna xna game studio aspnet parallel programming multicore teamwork visual studio visual studio,"The library of educational courses has been replenished with new courses and books:

Software Systems Development Technology
Fundamentals of Computer Game Development in XNA Game Studio
Web Application Development on ASP.NET
Parallel Programming for Multicore Processors
Team Development Using Visual Studio Team Foundation Server
Introduction to Microsoft Visual Studio Team System 2008
Agile Software Development Methodology
Descriptions and links below.

Software Systems Development Technology, A.V. Gavrilov

The course provides basic information on software systems development technology. It thoroughly examines the models and disciplines of the Microsoft Solution Framework (MSF). The main focus is on using the acquired theoretical knowledge in the implementation of a specific software project. The use of the team development tool environment is demonstrated using Visual Studio Team System (VSTS). The acquired skills allow for the design, analysis, and implementation of application software based on modern industrial development methods.

 Course program (245 KB)  Course structure (3.9 MB) 
 Lecture 1 (6.1 MB)  Lecture 2 (6.1 MB)  Lecture 3 (4.2 MB)  Lecture 4 (3.7 MB) 
 Lecture 5 (2.6 MB)  Lecture 6 (3.6 MB)  Lecture 7 (1.7 MB)  Lecture 8 (4.4 MB) 
 Lecture 9 (2.7 MB)  Lecture 10 (1.6 MB)

Fundamentals of Computer Game Development in XNA Game Studio, Yu.V. Dashko, A.A. Zaika, IUBiP

The course is dedicated to the basic methods of computer game development in XNA Game Studio 2.0, the development of documentation, and the implementation of independent game projects. It is intended for C# programmers (students of the ""Applied Informatics"" specialty). The course is implemented as a discipline of the regional component of the curriculum for the specified specialty.

 Readme (578 bytes)  Course description (200 KB)  Lectures (831 KB) 
 Seminars (10 KB) 
 Labs — part 1 (3.5 MB)  Labs — part 2 (7.7 MB) 
 Labs — part 3 (5.5 MB)  Labs — part 4 (5.1 MB)

Web Application Development on ASP.NET, G. Magdanurov, Microsoft

The course is designed for developers with no experience using ASP.NET. C# is used as the programming language. It is advisable to know the basics of HTML/JavaScript, have a basic understanding of web applications, and have experience writing programs in C-like languages to study the training.

 Part 1 (922 KB)  Part 2 (1.2 MB)

Parallel Programming for Multicore Processors, Yu. Serdyuk, A. Petrov

This course is focused on studying and practically applying modern high-level parallel programming tools for multicore processors — the Microsoft Parallel FX library and the MC# programming language. The use of such tools, from an industrial perspective, significantly increases the productivity and efficiency of programmers and allows a much larger number of programmers to engage in regular parallel programming. From an educational perspective, it enables university students to successfully study and master these tools starting from the second year.

 Lectures (835 KB)  Seminars (507 KB)

Team Development Using Visual Studio Team Foundation Server, J.D. Meyer, Jason Taylor, Alex McMahon, Prashant Bansod, Kevin Jones

The manual is dedicated to deploying Team Foundation Server and its effective use for source code management, build automation, work item and process management. The goal of this manual is to provide resources, recommendations, and tips for creating an effective environment for team software development to anyone involved in this activity.

 Book (4.1 MB)

Introduction to Microsoft Visual Studio Team System 2008, A. Fedorov

Visual Studio Team System 2008 continues the development of the product family for managing the entire application lifecycle and contains new and improved tools, processes, and guides that help improve collaborative teamwork and make it more efficient. The tools included in Visual Studio Team System 2008 allow for more effective communication between project team members and customers, establish effective collaboration, ensure the expected code quality using advanced quality control tools, and provide insights into project activities and priorities that enable data-driven decision-making in real-time.

 Book (618 KB)

Agile Software Development Methodology, Microsoft

This guide is dedicated to the Microsoft Solutions Framework for Agile Software Development methodology by Microsoft. This methodology describes the approach and organization of work in creating software products and, unlike the more extensive and abstract Microsoft Solutions Framework, is ready for immediate application. The guide is intended for project managers, as well as developers, analysts, testers, architects, and possibly other members of the development team.

 Book (1.9 MB)"
HTC HTC Bravo HTC Legend HTC Salsa HTC Tide HTC Buzz HTC Photon HTC Trophy HTC Tera Android Windows Mobile,"Recently, at a presentation organized by HTC for T-Mobile representatives, there was a leak of information about HTC's plans for the next year.

So, the entire HTC product line will be divided into several categories:

Design / Lifestyle — smartphones aimed at the youth market segment: HTC Legend, HTC Salsa.
Social — youth smartphones focused on tight integration with social networks (Twitter, Facebook, Flickr): HTC Tide, HTC Buzz.
Performance — smartphones with thousands of horses under the hood: HTC Bravo.
Productivity — Windows Mobile smartphones designed for the business segment: HTC Photon, HTC Trophy, HTC Tera (remake of Touch Pro2).

According to Eldar Murtazin, this roadmap lacks a couple of key HTC devices, such as the HTC Espresso or the 10-inch HTC Halo Tablet running Android.

Let's move on to the description of the most anticipated smartphone on Habrahabr.

HTC Bravo — the company's first Android smartphone, which is based on the gigahertz Qualcomm Snapdragon QSD8250 processor, capable of recording HD video in 720p format, has 512 MB ROM, and 256 MB RAM (rumor has it that the RAM size will be increased to 512 MB). It also comes with a 16 GB MicroSD memory card and a 1400 mAh battery. The display is a 3.7"" AMOLED with a capacitive touchscreen. The wait is almost over, the launch date is April 2010! A great competitor for the Xperia X10.

HTC Legend — another Android device that boasts a metal frame and a thickness of only 11.4 mm. Its specifications are more modest than those of the Bravo: 600 MHz Qualcomm MSM7227 as the processor, 3.2"" capacitive display, 512 MB ROM, 256 MB RAM. Judging by the shape, another sibling of the HTC Hero awaits us in March!

HTC Salsa — a gift for fans of Blackberry phones and Android at the same time. Salsa is a curious-looking monoblock with a qwerty keyboard and a very tiny (by modern standards) 2.6"" resistive display. The heart of the smartphone is the Qualcomm MSM7225 528 MHz. It also has a fairly standard 512 MB RAM and 256 MB ROM. Release date — June 2010.

HTC Tide — not a branded detergent for HTC, but a new Android smartphone designed for social network enthusiasts like Twitter, Facebook, Plurk, Flickr, etc. In terms of specifications, the phone is similar to the HTC Salsa: Qualcomm MSM7225 528 MHz, 512 MB RAM, and 256 MB ROM. The display is a 2.68"" QVGA with a resistive touchscreen. Release date — April 2010.

HTC Buzz — a new incarnation of the HTC Tattoo, but this time much more attractive, very thin (11 mm), and with a capacitive 3.2"" touchscreen display. Other specifications: Qualcomm MSM7225 528 MHz, 512 MB RAM, and 256 MB ROM. Fans of expressing their individuality with accessories will get a new toy in May 2010.

HTC Photon — a logical continuation of the HTC Diamond series, HTC Touch Diamond 2, but this time significantly improved, namely: the design, similar to the HTC HD2, catches the eye. The device will also be equipped with a 3.2"" capacitive HVGA display, Qualcomm MSM7227 600 MHz processor, 512 MB RAM, 256 MB ROM. The thickness of the smartphone is also impressive — only 10.9 mm. The wait is almost over — April 2010!

HTC Trophy — another attempt at the Blackberry market, but this time the smartphone will run on Windows Mobile 6.5. It is also worth noting the pleasant design in the style of the HTC HD2, 3"" capacitive VGA display. The other specifications are standard: Qualcomm MSM7227 600 MHz, 512 MB RAM, 256 MB ROM. It is worth noting that all HTC phones have significantly slimmed down: the thickness of the HTC Trophy is 11 mm. Premiere — May 2010.

HTC Tera — no more than a remake of the HTC Touch Pro 2, but this time smaller, thinner, and more stylish. Qualcomm MSM7227 600 MHz, 512 MB RAM, 256 MB ROM, also included is a 3.2"" WQVGA resistive display, a full qwerty keyboard, but most importantly — a thickness of 15 mm! Release date — April 2010.

It is worth adding that the HTC HD2 will be the flagship in the HTC product line throughout 2010, so making a purchase now, you won't have to regret it in 3 months :) HTC is slowly getting rid of Windows Mobile phones, relegating them to the business market segment, while Android occupies all the main niches. Geeks have started saving up for the HTC Bravo, and so have I :)

HTC has done a tremendous job and seems to have tried to outdo everyone: both Samsung with AMOLED displays, and Blackberry with qwerty monoblocks, and Apple with gigahertz processors and support for OpenGL ES 2.0.

Source: xda-developers.com
Official information can always be obtained via HTC Russia's Twitter: twitter.com/HTC_Ru"
mwc skype samsung nokia se opera apple iphone microsoft WinMo appstore motorola adobe vimpelcom htc OneAPI Vodafone MeeGo xbox wp,"Distant February 2007.

Seven long days spent on the streets of Barcelona without a single euro cent in my pocket. Life on La Rambla; African American drug dealers; girls of frivolous behavior; locals who understand nothing in English; the most cultured police in the world, oranges on the trees... We trod hundreds of roads — thousands knew the hard ways! But then — obtaining press accreditation, getting inside, and diving into the real hustle and bustle of the global telecom world! All this is possible only in one place in the world: Spain, Barcelona, February, Mobile World Congress.

So, right now the most interesting event of the year for the entire mobile industry is starting. Almost 100,000 people gather in one place to showcase their best developments, set trends for the year ahead, and of course, delight us with new products and announcements. Well, since they are there and we are here, there's no reason not to really follow them:

Official event website: mobileworldcongress.com

Special project from the organizers mobileworldlive.com (worth registering there)
Brochure with full information about the congress and event schedule: .PDF (6.8 Mb), no registration

Live updates on Engadget: engadget.com/tag/liveblog
Thematic publications on Gizmodo
Special section on Mobile-review + first 4 articles (introduction, Samsung Wave, Bada, HTC Smart)
Broadcast on Content-review
MWC through the eyes of gamers

Twitter:

twitter.com/gsmworld — official Twitter feed + hashtags: #MWC, #MWC10, #MWC2010
twitter.com/mobileworldlive — announcement feed from mobileworldlive.com
twitter.com/ShowDaily — daily newspaper released at the conference

our people on site: alex_exler, @bazilisa, derloos, @dryab, eldarmurtazin, goncharow, iBubelo, olyapka, plushev, playd, @symsymsym, taranenko, @technoslav, turubar 

Video:

Live broadcasts on qik.com
Good old YouTube
Stream from Mobile World Live TV on TelecomTV — videos from panel discussions and official events

What's ""hot"" to expect?

Opera will hold a closed presentation of Opera Mini on a jailbroken iPhone — the browser is 5 times faster than Safari
Demonstration of Windows Mobile 7 Series (which will be compatible with XBOX Live!) + release date announcement + promo site
Samsung will show Wave (S8500) + Bada — yes, Wave, not Google Wave and Bada, not nonsense
MOTOROI and MOTOAURA from you-know-who
Skype will finally integrate into Nokia N-series + joint project with Verizon
Sony Ericsson will show the world Vivaz pro
Premiere of the Notion Ink Adam tablet
SIMFi = SIM card + Wi-Fi in one package
Announcement of a new AppStore from 24 major mobile operators (VimpelCom from Russia participating)
Adobe promises Flash and AIR for Android + unclear activity in an alliance with Microsoft
Presentation of OneAPI from GSMA — a lightweight universal API for creating web applications integrated into mobile operator systems (IMS^2 ???)
Vodafone 150 — the first mobile phone for $15 for developing markets (Africa)
Nokia and Intel merge in creative ecstasy MeeGo
Symbian OS 3

Opera trolls Apple already at the airport level — well done!



via plushev.com + storyline development on intomobile.com

UPD: topic is being updated, post new relevant links and topics in the comments"
HP; HP ProLiant ProLiant G ML DL BL SL HP ProLiant SL hyperscalability high-load systems front-end web server Intel Xeon AMD Opteron Series,"In 1993, HP ProLiant servers, developed based on the x86 architecture, appeared on the market for the first time. The ProLiant family was expanded with new lines as the scope of application for such devices grew. Until recently, you could choose: the ML line – tower servers that you typically buy individually; the DL line – rack-mounted machines for serious tasks, several of which you buy with a significant margin for the future; and the BL line – by filling a rack with a dozen of such blades, you can always add more if demands increase.

But in recent years, BL and their analogs have been used when demands increase tens or hundreds of times – in web search engines, large DBMSs, and scientific supercomputers. Although various technologies are used in the design of these servers to reduce power consumption and compactly place internal components, even a small power saving and size reduction at the level of one server would provide significant economic benefits when operating complexes of several thousand computing nodes.

Therefore, HP specifically developed the HP ProLiant SL6000 line, in which a new form factor is used instead of the standard rack-mounted chassis. Our new system uses a two-unit z6000 chassis, in which several servers share common power supplies and fans. Compared to conventional one-unit servers, power consumption is reduced by 28%, and the overall weight of the server rack is reduced by 31%. A similar solution is used in the BladeSystem chassis for the BL line, but the z6000 does not have a common backplane, which improves air cooling inside the chassis.

As in other HP ProLiant sixth-generation systems, depending on the equipment configuration, the z6000 can use three power supply models: 460, 750, and 1200 watts. To simplify the deployment of large configurations, five SL6000s can be installed in one 10-unit bulk rail kit.

The z6000 houses three types of one-unit dual-processor ProLiant SL server modules based on the Xeon 5500:

HP ProLiant SL170z is designed for applications related to data storage. For example, for search engines and DBMSs. It accommodates 6 full-size SAS/SATA disks and 16 DDR3 SIM memory modules.
HP ProLiant SL2x170z is intended for supercomputing calculations and servicing front-end web applications. It occupies half the width of a 19-inch rack, so four SL2x170z modules can be installed in the two-unit z6000 chassis, doubling the processor power density compared to conventional one-unit servers. This model also supports the installation of 16 DDR3 SIM memory modules but can only accommodate one 3.5-inch hard drive.
HP ProLiant SL160z, designed to work with applications involving intensive use of RAM (e.g., web page caching), is equipped with 18 memory module slots and two PCI slots. It can house two 3.5-inch disks.

Additionally, HP ProLiant SL165z modules based on AMD Opteron 2400 Series will soon be available for sale.

All four models are equipped with a dual-port Gigabit Ethernet adapter and support DCMI and IPMI management with the ability to turn off individual server modules in the chassis.

We can only sincerely wish everyone that your tasks grow to such a scale that expanding your server fleet means purchasing a few more HP ProLiant SL6000 racks! :)"
cyborg Steve Mann glogging glog cyborglogging Big Brother wearable computer eyetap webcam photolog videolog cyborg problems cyberlaw cyberpunk virtual light William Gibson,"It seems that there is a clear interest in Gibson and cyberpunk on Habr: sometimes they write about the adaptation of ""Neuromancer,"" or about a guy from Obscura Digital who waves his hands in the air just like Keanu Reeves in ""Johnny Mnemonic.""

Or suddenly the Habr community will start to worry about why designer Mac Funamizu depicted Gibson's ""Virtual Light"" as a transparent frame and not glasses. And it's completely in vain! Glasses with image processing of the surrounding world have long been realized and are now being perfected by cyborg enthusiast Steve Mann:

Steve has been promoting the ideology of the ""wearable"" computer for several decades, first at MIT and then at his native University of Toronto.

Main areas Steve has worked on:
Development of EyeTap technology. These are the very glasses that intercept the image entering the eye, pass it through a computer, and then transmit it further into the eye. One of the models ready for mass production:

Image processing technologies. For example, Steve holds a patent for the technology of stitching several video frames into a whole picture:

CyborGLOGGING, reverse surveillance. Steve, as a self-respecting cyborg, develops and implements cyborg ideology. Cyborglogging, or simply glogging, is the continuous uploading of videos and photos taken by ""wearable"" cameras. Steve even created a service for gloggers, where he also maintains his own glog. Reverse surveillance is when, instead of the all-seeing eye of Big Brother, the recording is done by a wearable device of an ordinary citizen, usually ""wearable"":

Such surveillance, of course, is initiated not by government agencies for covert control over citizens, but on the contrary, by movement activists for public use in diaries, and all recorded information is as open as possible. This is exactly how Mann sees ideal surveillance: since the information is not secret, there can be no underhanded games and corruption, if someone's rights are violated — everyone will see it. If the recording itself invades someone's private life — no problem, since everything is as open as possible, the information can be immediately deleted.

Cyborg problems
Now the most interesting part: Steve Mann is a staunch ideologist and activist of his inventions and concepts. Therefore, for the last three decades, he has been wearing a pile of iron. This collage has been circulated in almost all online publications, as you can see, until the mid-90s, Steve had a hard time (literally):

Another very interesting fact from Steve's life: on February 18, 2002, Steve was detained by the security service of St. John's Airport, Canada. Until that moment, Steve had been flying around the world without any problems, the security services were satisfied with his package of documents for the equipment (which included a certificate from his personal doctor stating that Steve was conducting an experiment and it was not recommended for him to walk without special equipment). ""The New York Times"" writes: during a personal search, the employees scattered the devices all over the floor (later they forgot to return part of the equipment to the inventor worth almost $57,000), tore off the electrodes from Steve, causing bleeding. After the electronics were disabled, Steve lost his spatial orientation (fell several times, once hit his head on a hanging fire extinguisher), and he was taken to boarding in a wheelchair.

On Slashdot, I found an interesting discussion of the incident. Several of Steve's former and current students commented. They claim that the journalists greatly exaggerated everything, the students personally saw Steve sometimes take off his glasses and move normally, that the inventor's equipment does not contain any biometric sensors, let alone implants. One of Steve's MIT students suggested that if you look at a two-dimensional picture of the world for a long time (through the glasses' screens), disorientation will definitely occur. Someone suggested that Steve was simply very upset by what had happened. In any case, everyone agreed that this is a very indicative case from the series ""what will happen if you deprive a person of gadgets that help him live.""

Several photos
Here are some illustrations that allow you to immerse yourself in the atmosphere of what Steve is doing. Here is a group photo of MIT cyborg students participating in Steve's early project to scan the surroundings of the institute:

Concept fantasy ""PleaseWait: I don't talk to strangers."" ""Insert your passport into the reader on my head and only then will I see and hear you. If you want to show me an ad, pay for my attention. Press '3' and insert a credit card"":

Wearable camera in a backpack:

Wearable camera on the chest in a bra:

One of the applications of EyeTap technology, the ""Adissolve"" project (literally ""dissolving ads""), in the illustration, the system recognizes an ad in a magazine and replaces it with a photo uploaded from an art gallery:

The inventor's daughter, Christina Mann, captured using EyeTap glasses a few minutes after birth:

New hobby
Now Steve is fascinated by musical hydro-instruments, but he still does not part with his glasses:

Links
I advise you to continue exploring the topic through the following links:

EyeTap laboratory website,
Steve Mann's website,
the ""info gargoyle"" blog dedicated to cyborgs and wearable computers,
the publication ""Continuous Lifelong Capture of Personal Experience with EyeTap,""
the publication ""Equiveillance: The equilibrium between Surveillance and Sous-veillance"""
ACDC Alice Cooper Def Leppard Elvis Presley Iron Maiden Queen Scorpions Survivor The Offspring Velvet Revolver ZZ Top rock Last.fm Google friends,"Hello and stay healthy, dear Habr users! =)) The weather in Moscow is terrible right now: it's cold, 13 degrees Celsius on the thermometer, feels like around 7-8, no sun, a north wind, but at least there's no rain. And in this weather, Uncle Sokki got ready and finally carried out his cunning plan. :) Actually, there was no space left on the sheet)) You'll understand which sheet later.

About a month ago, I was looking for some radio station that played only the music that resonates most in my soul and heart. And I stumbled upon the Rock radio, where playing music in high quality costs money (Backstage Pass for only $4.99/month), and in low quality — free, that is, for nothing. Without much thought, I put the audio stream into my favorite Rhythmbox in the radio stations section, and since then I don't remember turning off the speakers and not hearing the sounds of songs by Metallica, AC/DC, ZZ Top, Iron Maiden, Alice Cooper, Queen, Aerosmith, Kiss, and others.

But the article is not about how cool all this is (and it really is cool!), but about my first rock compilation. Hearing a song that pierced me from head to toe, I turned to the sheet and wrote down the band and the song.

Fig.1. The best of the best =))
The next step was to find all this variety. Everything was found, except for the Jingle ""Money"". Then I turned to Twitter users and my friends. Huge thanks to the following people who spent their time helping me in the search:
vfaronov,
Vasyok Kuzminov,
Sanyok Timokhin,
Damirock,
Sanyok Artamonov,
andrejs.

Fig.2. Brainstorming
Where our glorious seven didn't search: googling in Yandex =)), on last.fm, in torrents, on free-mp3-sites, on the Rock radio website... I was even ready, and still am, to pay a small fee of $1 (!!!) for this song)) But then we agreed that the band is not popular not only in Russia, not only in Europe, but also in America itself. So it's a dead end.

Well, here's the Rock #1 album:

Fig.3 Bloody guitar (just on topic) =))
01 ACDC — The razors edge
02 Alice Cooper — Billion dollar babies
03 Def Leppard — Cmon Cmon
04 Elvis Presley — Jailhouse rock
05 Iron Maiden — Fear Of The Dark
06 Queen — Bohemian rhapsody
07 Queen — Death on two legs dedicated to…
08 Scorpions — Still loving you
09 Survivor — Eye of a tiger rocky balboa
10 The Offspring — I wanna be sedated
11 Velvet revolver — Dirty little thing
12 ZZ Top — La grange

My blog"
telephone old hardware cellular communication cellular operators mobile phone analog history nokia nokia russia turbulent nineties post-apocalypse museum museum IT museum of computer history,"Indestructible ""nuclear briefcase.""
A legend of the ""wild nineties.""
Almost the very same ""suitcase with a pipe,"" only more authentic are trunking communication devices and ""RusAltai"" blocks.
Previously, it was in the car of some big shot, and thanks to his careful handling, the device is in very good condition. It's hard to find a better prop for movies about nuclear missiles, spies, and satellite communication with the president.

Under the cut, there are several photos and a story about this phone.

An analog mobile phone, more precisely a ""portable subscriber radio station of the NMT-450 standard."" It was used in the network of the operator MSS (""Moscow Cellular Communication""), which was widely known in the advertisement ""Federal Network SOTEL.""
There are no SIM cards; the number is hard-programmed into the network. SMS is not supported. At all. Voicemail worked ""perfectly"" through the operator's means. The ""phone book"" is a memory for several speed dial numbers without search and familiar navigation.

Excellent reception quality was ensured by a transmitter with a power of 7W (compare with the power of GSM devices, which rarely reach one watt). Reliable operation at the maximum distance from the base station and unparalleled battery life from onboard batteries — a NiMH battery with a capacity of 1700mAh and weighing more than 500 grams squeezed up to 7 days. This device was designed to provide communication in any circumstances, and it always succeeded.

The charger connects directly to the battery, but it can also be connected to the phone — it has an external power input for connection to a car's onboard network or another power source.

A wired telephone line adapter allowed this device to emulate a PBX and make calls through it using a modem, fax, or regular wired phone. A remote wooded area, a stump, with a regular telephone handset on it, the wire from which goes to the line connector on a hidden Nokia 720. Pick up the handset. After a second, the familiar dial tone is heard. You can dial a number.

They say that there are no longer any active networks of this standard — the analog NMT-450 protocol quietly died even in the regions of Russia. There is no longer that range, that autonomy, that power. You can no longer find that mystery, intrigue, and prestige that this device gave its owner. The quality was legendary. Genuine Made In Finland.

The past is irrevocably gone, but this device will live on. It has seen even more. This is one of those devices from which cellular communication as a phenomenon began. One of the best devices. It's not its fault that the standard is no longer supported, and all successors did not inherit its best qualities. They will still remain valuable.

UPD.
Can anyone tell if there are any regions where NMT-450 networks still exist?
This question was asked on netmonitor, it seems like some guys went somewhere supposedly to catch it, but I never saw a report on that trip.

UPD2.
Equipped weight with battery — 1500 grams. The bottom of the device is a ribbed metal radiator.

Year of manufacture — 1996."
ie microsoft browser web development web design firefox internet explorer opera safari javascript java script html layout css css compatibility ajax facebook mobile me apple,"IE6 (Microsoft Internet Explorer 6) was released in 2001. If you look at the date of this post, today is 2008. Various statistics show that about 20% of internet users today continue to use IE6. It is also worth noting that the share of IE6 has been rapidly decreasing since the beginning of 2008.

IE6 does not support standards, does not provide adequate security, and contains a huge number of bugs. To ensure site compatibility with IE6, separate and labor-intensive work is required to track IE6's own errors. Moreover, since 2001, the Internet has not stood still but has rapidly developed towards the so-called Web 2.0, and the use of all the latest technologies is not possible in IE6. For example, the use of complex JavaScript scripts.

Many internet services have officially stopped supporting IE6, including Facebook and Apple's MobileMe.

Thus, today we have a problem: on the one hand, 20% of internet users use IE6, and on the other hand, not all sites can be made compatible with IE6 due to the backwardness of the browser itself.

Why don't users update the long-outdated browser? If you read the forums, you can notice one trend. IE6 is a corporate standard for some companies, and corporate software has been created for it, which is only compatible with it. This is the reason why corporate computers are not updated to the new version of IE, and the installation of third-party browser programs, such as Firefox, Opera, or Safari, is prohibited by security policy.

(If we do not talk only about corporate computers, it is worth noting that Windows Update is enabled by default in Windows XP, and the IE6 browser is automatically updated to IE7 without problems.)

Thus, we have found that IE6 is currently a unique browser that requires special code to be written for the site to be compatible with it.

I believe that for this reason, developing a site compatible with IE6 can be a separate item in the technical specifications for site development. If there is a task to create a modern site compatible with IE6, it is a task to develop two sites. The first is compatible with all the latest browsers, and the second possibly contains somewhat reduced capabilities but is compatible with the outdated IE6.

One of the options to solve the problem of using IE6 could be to determine the browser version and display a warning message that ""the site may not work and look as expected because you are using an outdated browser version,"" and suggest updating the favorite browser to the current version. This is roughly how the internet services mentioned in the article acted.

UPD: Microsoft has created a site with statistics on IE6 usage."
social networks Odnoklassniki ru Odnoklassniki km ru HowGreat ThatWeAllGatheredHereToday ru domain names many letters Guinness Book of Records longest tags on Habr Length of one tag cannot exceed characters,"The social network of the company ""KM Online"" has found its next incarnation. The very network that for a long time felt quite good under the name Classmates.km.ru (copying the name of the progenitor site Classmates.com), and then briefly and ingloriously lived under the nickname Odnoklassniki.km.ru (losing a court dispute over intellectual property to Odnoklassniki.ru), has now received a name that may be recognized as the longest domain name in Runet — KakZdorovoChtoVseMyZdesSegodnyaSobralis.ru. This achievement ""KM Online"" wants to enter into the ""Guinness Book of Records.""

The creativity of the creators of KZCHVMZSS.ru is baffling in its scale and truly makes one think. Just consider these words from the press release: ""The name of the network is a line from a song by Oleg Mityaev. Initially, it was planned to quote the entire verse of the song in the address bar. But, so as not to overly tire the user, the creators of the site settled on the most popular words."" Damn, people with such energy could indeed have bypassed the technical limitation on the domain name length of 63 ASCII characters!

It should be noted that the network already has about 3.2 million users who have survived (or are surviving) the turbulent times of active promotion in Runet. Which is quite a lot, considering that they themselves are unlikely to confidently remember the name of their haven now.

And finally. ""Unlike competitors, the social network KakZdorovoChtoVseMyZdesSegodnyaSobralis.ru will provide only free services. Convenient search for friends by interests, place of study, work, individual informers, convenient blog service, 'invisible' status, and much more. Most of these services are absent in competing social networks."" Competitors in the same text are directly named as ""Vkontakte"" and ""Odnoklassniki.ru"". One can only shrug."
iPhone iPhone G The Korea Times KT LentaRu mobile WiMAX WiMAX Yota Yota Yota Scartel Scartel G video chat OLED OLED display Cortex Cortex-A ARM processors RFID,"The Korea Times reported yesterday that the Korean mobile operator KT plans to start selling a new generation of iPhones in April, which this time will be equipped with dual-core processors, powerful graphics coprocessors (for processing video and photos), OLED screens, and support for live video chats.

The AppleInsider website publishes another leak from internal Apple sources: the new devices will be equipped with ARM processors designed with Cortex-A9, capable of exceeding the two-gigahertz frequency limit. It is also expected to implement RFID technology, providing contactless authentication.

These news are retold on the Lenta.Ru website. And in the LJ community yota_ru, they are currently discussing whether mobile WiMAX (in particular, Yota) will be among the 4G technologies supported by the new iPhone. There is also a picture that attracts attention:

The most interesting is the list of new features on the right. In particular, the version of the operating system indicated in the illustration raises considerable doubts about the conformity of this concept to objective reality.

Judging by its address, this picture is from the December part of that Brazilian blog, however, not knowing Brazilian, I cannot find the corresponding blog entry there.

The nearest date to check the Korean and Brazilian news is January 27; it is then (if you believe AppleInsider) that Apple plans to present the new iPhone 4.0 SDK to the public. Some developers supposedly received advice from Apple back in December last year to prepare their applications for launch on a screen that will exceed the size of 320×480."
